"No.","Time","Source","Destination","Protocol","Length","Info"
"5568","49.452816","192.168.43.165","192.168.43.159","TCP","54","5001  >  56914 [ACK] Seq=1986768 Ack=1995392 Win=65536 Len=0"
"5569","49.471486","192.168.43.165","192.168.43.159","TCP","1514","5001  >  56914 [ACK] Seq=1986768 Ack=1995392 Win=65536 Len=1460"
"5570","49.472482","192.168.43.165","192.168.43.159","TCP","1514","5001  >  56914 [ACK] Seq=1988228 Ack=1995392 Win=65536 Len=1460"
"5571","49.472482","192.168.43.165","192.168.43.159","TCP","216","5001  >  56914 [PSH, ACK] Seq=1989688 Ack=1995392 Win=65536 Len=162"
"5572","49.472734","192.168.43.159","192.168.43.165","TCP","54","56914  >  5001 [ACK] Seq=1995392 Ack=1989850 Win=131328 Len=0"
"5573","49.476510","192.168.43.159","192.168.43.165","TCP","1514","56914  >  5001 [ACK] Seq=1995392 Ack=1989850 Win=131328 Len=1460"
"5574","49.476510","192.168.43.159","192.168.43.165","TCP","1514","56914  >  5001 [ACK] Seq=1996852 Ack=1989850 Win=131328 Len=1460"
"5575","49.476510","192.168.43.159","192.168.43.165","TCP","230","56914  >  5001 [PSH, ACK] Seq=1998312 Ack=1989850 Win=131328 Len=176"
"5576","49.480565","192.168.43.165","192.168.43.159","TCP","54","5001  >  56914 [ACK] Seq=1989850 Ack=1998312 Win=65536 Len=0"
"5577","49.499110","192.168.43.165","192.168.43.159","TCP","1514","5001  >  56914 [ACK] Seq=1989850 Ack=1998488 Win=65280 Len=1460"
"5578","49.499110","192.168.43.165","192.168.43.159","TCP","1514","5001  >  56914 [ACK] Seq=1991310 Ack=1998488 Win=65280 Len=1460"
"5579","49.499110","192.168.43.165","192.168.43.159","TCP","216","5001  >  56914 [PSH, ACK] Seq=1992770 Ack=1998488 Win=65280 Len=162"
"5580","49.499216","192.168.43.159","192.168.43.165","TCP","54","56914  >  5001 [ACK] Seq=1998488 Ack=1992932 Win=131328 Len=0"
"5581","49.501639","192.168.43.159","192.168.43.165","TCP","1514","56914  >  5001 [ACK] Seq=1998488 Ack=1992932 Win=131328 Len=1460"
"5582","49.501639","192.168.43.159","192.168.43.165","TCP","1514","56914  >  5001 [ACK] Seq=1999948 Ack=1992932 Win=131328 Len=1460"
"5583","49.501639","192.168.43.159","192.168.43.165","TCP","230","56914  >  5001 [PSH, ACK] Seq=2001408 Ack=1992932 Win=131328 Len=176"
